"Active From","Actif du"
"Active To","Actif jusqu'au"
"Allow Gift Message","Autoriser les messages cadeau"
"Apply MAP","Appliquer le prix minimum"
"Apply To","Appliquer à"
"Apply To Products","Appliquer aux produits"
"Associate to Website","Associer au site web"
"Available Product Listing Sort By","Tris disponibles des listes de produit"
"Base Image","Image de base"
"Children Count","Nb d'enfants"
"City","Ville"
"CMS Block","Bloc CMS"
"Color","Couleur"
"Company","Société"
"Cost","Coût"
"Country","Pays"
"Country of Manufacture","Pays de fabrication"
"Create In","Créer dans"
"Created At","Créé le"
"Created From","Créé depuis"
"Custom Design","Habillage personnalisé"
"Custom Layout Update","Mise en page personnalisée"
"Date Of Birth","Date de naissance"
"Default Billing Address","Adresse de facturation par défaut"
"Default Product Listing Sort By","Tri par défaut des listes de produit"
"Default Shipping Address","Adresse de livraison par défaut"
"Description","Description"
"Display Mode","Mode d'affichage"
"Display Product Options In","Afficher les options des produits en"
"Email","Email"
"Enable Recurring Profile","Activer le paiement en plusieurs fois"
"Fax","Fax"
"First Name","Prénom"
"Gender","Sexe"
"Group","Groupe"
"Image","Image"
"Image Gallery","Galerie d'image"
"Image Label","Libellé de l'image"
"Include in Navigation Menu","Inclure dans le menu"
"Is Active","Actif"
"Is Anchor","Ancré"
"Is Confirmed","Confirmé"
"Is Product Available for Purchase with Google Checkout","Produit disponible via Google Checkout"
"Last Name","Nom"
"Layered Navigation Price Step","Étape prix de la navigation par filtres"
"Level","Niveau"
"Limited quantity","Quantité limitée"
"Links can be purchased separately","Les liens peuvent être achetés séparément"
"Links title","Titre des liens"
"Manufacturer","Fabricant"
"Manufacturer's Suggested Retail Price","Prix de détail suggéré par le fabricant"
"Media Gallery","Médiathèque"
"Meta Description","Méta description"
"Meta Keywords","Méta mots-clés"
"Meta Title","Méta titre"
"Middle Name/Initial","Initiales"
"Minimal Price","Prix minimum"
"Name","Nom"
"Page Layout","Mise en page"
"Page Title","Titre de la page"
"Path","Chemin"
"Position","Position"
"Prefix","Préfixe"
"Price","Prix"
"Price View","Vue prix"
"Recurring Payment Profile","Profil de paiement en plusieurs fois"
"Samples title","Titre d'échantillons"
"Set Product as New from Date","Produit nouveau du"
"Set Product as New to Date","Produit nouveau jusqu'au"
"Shipment","Expédition"
"Short Description","Decription courte"
"Size","Taille"
"SKU","SKU"
"Small Image","Petite image"
"Small Image Label","Libellé petite image"
"Special Price","Prix spécial"
"Special Price From Date","Prix spécial du"
"Special Price To Date","Prix spécial jusqu'au"
"State/Province","État/Région"
"Status","Statut"
"Street Address","Rue"
"Suffix","Suffixe"
"Tax Class","Classe de taxe"
"Tax/VAT Number","Numéro de Taxe/TVA"
"Telephone","Téléphone"
"Thumbnail","Miniature"
"Thumbnail Image","Miniature"
"Thumbnail Label","Libellé miniature"
"Tier Price","Prix palier"
"URL key","URL"
"Use Parent Category Settings","Utiliser les paramètres de la catégorie parente"
"Visibility","Visibilité"
"Weight","Poids"
"Zip/Postal Code","Code postal"
